T / K	p / MPa	u / kJ/kg	h / kJ/kg	s / kJ/kgK	v / m3/kg	cp / kJ/kgK	cv / kJ/kgK
3.23691892e+02	1.26872608e+04	2.44346857e+06	2.59226685e+06	8.06552861e+03	1.17281645e+01	1.94916865e+03	1.46812328e+03
3.24066202e+02	1.29238936e+04	2.44396403e+06	2.59292721e+06	8.05907290e+03	1.15261846e+01	1.94980999e+03	1.46858060e+03
3.24440513e+02	1.31642985e+04	2.44445924e+06	2.59358724e+06	8.05263662e+03	1.13282148e+01	1.95045429e+03	1.46903947e+03
3.24814823e+02	1.34085245e+04	2.44495420e+06	2.59424693e+06	8.04621968e+03	1.11341657e+01	1.95110157e+03	1.46949993e+03
3.25189133e+02	1.36566210e+04	2.44544891e+06	2.59490629e+06	8.03982202e+03	1.09439503e+01	1.95175188e+03	1.46996197e+03
3.25563443e+02	1.39086378e+04	2.44594337e+06	2.59556531e+06	8.03344354e+03	1.07574836e+01	1.95240523e+03	1.47042563e+03
3.25937754e+02	1.41646254e+04	2.44643757e+06	2.59622399e+06	8.02708418e+03	1.05746826e+01	1.95306167e+03	1.47089091e+03
3.26312064e+02	1.44246345e+04	2.44693152e+06	2.59688233e+06	8.02074384e+03	1.03954664e+01	1.95372122e+03	1.47135785e+03
3.26686374e+02	1.46887165e+04	2.44742521e+06	2.59754032e+06	8.01442245e+03	1.02197562e+01	1.95438391e+03	1.47182646e+03
3.27060685e+02	1.49569232e+04	2.44791865e+06	2.59819796e+06	8.00811993e+03	1.00474750e+01	1.95504978e+03	1.47229676e+03
3.27434995e+02	1.52293068e+04	2.44841182e+06	2.59885525e+06	8.00183620e+03	9.87854750e+00	1.95571886e+03	1.47276876e+03
3.27809305e+02	1.55059201e+04	2.44890473e+06	2.59951219e+06	7.99557119e+03	9.71290054e+00	1.95639120e+03	1.47324251e+03
3.28183616e+02	1.57868164e+04	2.44939737e+06	2.60016877e+06	7.98932481e+03	9.55046249e+00	1.95706681e+03	1.47371800e+03
3.28557926e+02	1.60720493e+04	2.44988975e+06	2.60082499e+06	7.98309699e+03	9.39116354e+00	1.95774574e+03	1.47419528e+03
3.28932236e+02	1.63616732e+04	2.45038186e+06	2.60148085e+06	7.97688765e+03	9.23493552e+00	1.95842803e+03	1.47467435e+03
3.29306547e+02	1.66557427e+04	2.45087369e+06	2.60213635e+06	7.97069672e+03	9.08171191e+00	1.95911371e+03	1.47515525e+03
3.29680857e+02	1.69543131e+04	2.45136526e+06	2.60279148e+06	7.96452411e+03	8.93142777e+00	1.95980282e+03	1.47563800e+03
3.30055167e+02	1.72574400e+04	2.45185655e+06	2.60344625e+06	7.95836976e+03	8.78401971e+00	1.96049541e+03	1.47612263e+03
3.30429477e+02	1.75651798e+04	2.45234757e+06	2.60410064e+06	7.95223358e+03	8.63942584e+00	1.96119150e+03	1.47660915e+03
3.30803788e+02	1.78775892e+04	2.45283831e+06	2.60475466e+06	7.94611550e+03	8.49758577e+00	1.96189115e+03	1.47709761e+03
3.31178098e+02	1.81947254e+04	2.45332877e+06	2.60540830e+06	7.94001545e+03	8.35844051e+00	1.96259439e+03	1.47758801e+03
3.31552408e+02	1.85166461e+04	2.45381894e+06	2.60606156e+06	7.93393335e+03	8.22193247e+00	1.96330126e+03	1.47808039e+03
3.31926719e+02	1.88434096e+04	2.45430884e+06	2.60671444e+06	7.92786912e+03	8.08800543e+00	1.96401180e+03	1.47857478e+03
3.32301029e+02	1.91750747e+04	2.45479844e+06	2.60736693e+06	7.92182269e+03	7.95660449e+00	1.96472606e+03	1.47907121e+03
3.32675339e+02	1.95117007e+04	2.45528776e+06	2.60801903e+06	7.91579399e+03	7.82767602e+00	1.96544409e+03	1.47956970e+03
